jfcode,name,status,product_id,sku,image_url
JF1292,JFA Microporous Tape 2.5cm x 10m Pack 4,Live,9757,JF1292,https://m.media-amazon.com/images/I/719INn+6N6L._AC_SL1500_.jpg
JF1325,Cutiderm Alcohol Wipes - Pouch,Live,,,
JF1326,3ml Novotip Syringe Single,Live,,,
JF1334,Small First Aid Dressing - 5cm x 5cm - Pack of 1,Live,,,
JF1343,Cutiderm Adhesive Transparent Wound Dressings 60mm x 80mm - Pack of 1 POUCH,Live,,,
JF1344,Cutiderm Adhesive Transparent Wound Dressings 80mm x 100mm - Pack of 1 POUCH,Live,,,
JF1345,Cutiderm Adhesive Transparent Wound Dressings 80mm x 150mm - Pack of 1 POUCH,Live,,,
JF1350,JFA Medical Ultrasound Gel 250ml - Pack of 2,Live,,,
JF1352,Cutiderm Silicone Foam Dressing 10cm x 10cm - Pack of 1,Live,,,
JF1354,MaxTape EAB Tape WHITE 7.5cm x 4.5m - Pack of 1,Live,,,
JF1356,MaxTape EAB Tape BLACK 7.5cm x 4.5m - Pack of 1,Live,,,
JF1358,MaxTape EAB Tape WHITE 5cm x 4.5m - Pack of 1,Live,,,
JF1360,MaxTape EAB Tape BLACK 5cm x 4.5m - Pack of 1,Live,,,
JF1362,Cutiderm Silicone Foam Dressing 7.5cm x 7.5cm - Pack of 1,Live,,,
JF1364,Cutiderm Silicone Foam Dressing 5cm x 5cm - Pack of 1,Live,,,
JF1366,Cutiderm Silicone Foam Dressing 15cm x 15cm - Pack of 1,Live,,,
JF1379,Alcoclens Alcohol Wipe - Single Sachet,Live,,,
JF1381,Alcoclens Alcohol Wipes - Pack of 200,Live,,,
JF1387,TubTest Hot Tub Test Strips 3 in 1 Pack of 100,Live,10564,JF1387,https://m.media-amazon.com/images/I/41butl-DgmL._SX342_SY445_QL70_ML2_.jpg
JF1388,"Ironhold Black Nitrile Gloves XXL7.0g Extra
Extra Large - Box of 100",Live,10463,JF1388,
JF1389,Novagrip Nitrile Exam Glove XXL5.5g black Extra Extra Large - Box of 100,Live,10464,JF1389,https://m.media-amazon.com/images/I/71wu2stnUKL._SL1500_.jpg
JF1395,1ml EVOLOK Syringe Pouch,Live,,,
JF1396,3ml EVOLOK Syringe Pouch,Live,,,
JF1397,5ml EVOLOK Syringe Pouch,Live,,,
JF1398,10ml EVOLOK Syringe Pouch,Live,,,
JF1399,20ml EVOLOK Syringe Pouch,Live,,,
JF1405,Cutiderm Adhesive Wound Dressing 10cm x 20cm - Pouch,Live,,,
JF1406,Cutiderm Adhesive Wound Dressing 10cm x 15cm - Pouch,Live,,,
JF1407,Cutiderm Adhesive Wound Dressing 15cm x 15cm - Pouch,Live,,,
JF1413,Cutiderm Hydrocolloid Extra Thin Wound Dressings 5x10cm - Pack of 10,Live,,,
JF1414,Cutiderm Hydrocolloid Extra Thin 5x10cm POUCH,Live,,,
JF1415,Cutiderm Transparent Plasters 2 Sizes - Pack of 50,Live,10632,JF1415,https://m.media-amazon.com/images/I/81lvlQr54mL._AC_SY300_SX300_QL70_ML2_.jpg
JF1416,JFA Medical Moleskin Comfort Padding Tape for Feet 7cm x 40cm - Box of 3,Live,10566,JF1416,https://m.media-amazon.com/images/I/71gl9mk-5BL._AC_SY300_SX300_QL70_ML2_.jpg
JF1419,Healbox Adhesive Wound Dressings 8 cm x 10 cm  - Pack of 20,Live,10567,JF1419,https://m.media-amazon.com/images/I/71iftg5bJuL._AC_SX679_.jpg
JF1420,Heal Box Adhesive Wound Dressing 80mm x 100mm - POUCH,Live,,,
JF1421,Healbox Adhesive Wound Dressings 6 cm x 7 cm - Pack of 20,Live,10568,JF1421,https://m.media-amazon.com/images/I/71-Y4w6BIgL._AC_SY300_SX300_QL70_ML2_.jpg
JF1422,Heal Box Adhesive Wound Dressing 60mm x 70mm - POUCH,Live,,,
JF1423,Healbox Adhesive Wound Dressings 80mm x 150mm - Pack of 20,Live,10569,JF1423,https://m.media-amazon.com/images/I/71uOirpQgyL._AC_SX679_.jpg
JF1424,Heal Box Adhesive Wound Dressing 80mm x 150mm - POUCH,Live,,,
JF1425,Healbox Washproof Assorted Plasters - Pack of 100,Live,10626,JF1425,https://m.media-amazon.com/images/I/71dB3BNPNDL._AC_SY300_SX300_QL70_ML2_.jpg
JF1426,Healbox Blue Assorted Plasters - Pack of 100,Live,10627,JF1426,https://m.media-amazon.com/images/I/71O9OCQM-cL._AC_SY300_SX300_QL70_ML2_.jpg
JF1427,Healbox Adhesive Wound Dressings 100mm x 150mm - Pack of 20,Live,10628,JF1427,https://m.media-amazon.com/images/I/71UhQoJRLnL._AC_SX679_.jpg
JF1428,Heal Box Adhesive Wound Dressing 100mm x 150mm - POUCH,Live,,,
JF1429,"JFA Therapy Putty 57g Extra Firm, Dark Blue SINGLE TUB",Live,,,
JF1430,"JFA Therapy Putty 57g Firm, Blue SINGLE TUB",Live,,,
JF1431,"JFA Therapy Putty 57g Medium, Sky Blue SINGLE TUB",Live,,,
JF1432,"JFA Therapy Putty 57g Soft, Light Blue SINGLE TUB",Live,,,
JF1433,"JFA Therapy Putty 57g Extra Soft, Pale Blue SINGLE TUB",Live,,,
JF1434,Healbox Adhesive Wound Dressings Assorted Sizes - Pack of 50,Live,10600,JF1434,https://m.media-amazon.com/images/I/71h7XTtp-PL._AC_SL1500_.jpg
JF1435,Healbox Blue Assorted Plasters - Pack of 200,Live,10629,JF1435,https://m.media-amazon.com/images/I/7139d2hdD2L._AC_SY300_SX300_QL70_ML2_.jpg
JF1436,Healbox Washproof Assorted Plasters - Pack of 200,Live,10630,JF1436,https://m.media-amazon.com/images/I/71bL8nG3X6L._AC_SY300_SX300_QL70_ML2_.jpg
JF1437,Healbox Cohesive Bandage 5cm x 4.5m Assorted Colours - Pack of 16,Live,10596,JF1437,https://m.media-amazon.com/images/I/81HkRsAuSLL._AC_SX679_.jpg
JF1438,Healbox Cohesive Bandage 5cm x 4.5m Pink - Pack of 16,Live,10597,JF1438,https://m.media-amazon.com/images/I/81tmD2DzMNL._AC_SY300_SX300_QL70_ML2_.jpg
